,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id
8590,8590,en,False,0,0,0,0,2021-12-03T01:11:58.000Z,VLOG Newbie Dune Bashing Drive with the The Big Boys Drive 3 https://t.co/7GMQDBv6DB via @YouTube,1466575905950552069,917360155255279616
2223,2223,en,False,0,1,0,0,2021-12-05T21:27:33.000Z,Blaze will not like Dune for the fact that there is a scene in the movie in which a cat gets milked.,1467606592346595332,2560374998
1288,1288,en,False,0,0,2,0,2021-12-06T08:27:08.000Z,The First Order scenes in star wars would have looked better if they had a little weirdness like this. Like the throat singing in Dune. Gotta get the 'culture' in. https://t.co/RCP2Lyqa5z,1467772584125214721,944006306305859584
8485,8485,en,False,0,0,0,0,2021-12-03T01:54:53.000Z,HBO Max Currently Has Many of the Best Sci Fi Movies Ever Made (Including DUNE) | Flick Connection https://t.co/uAWDdU3cUG,1466586705268551688,1382028946754072587
162,162,en,False,0,0,0,0,2021-12-06T22:29:33.000Z,This isn't a still shot from Dune? https://t.co/DLQXXvWeiB,1467984586370170892,359425035
4464,4464,en,False,1,0,8,0,2021-12-04T21:02:59.000Z,These are the only sellers of $RNB in the past 24 hours. 💎👐 https://t.co/I8AtmEaBB4 https://t.co/fu8RBw0XnX,1467238023482023937,1413323348512329730
8096,8096,en,False,0,0,0,0,2021-12-03T05:48:50.000Z,"Do you need a website for your business? Hire an expert on fiverr today!
https://t.co/hzXhLYEThP
#SpotifyWrapped #MUFC #MoneyHeist5 #OmicronVarient #bbcqt #BTSPermissionToDanceOnStageLA #COVID19 #Christmas2021 #Dune #DOYOUNG #PTD_ON_STAGE_LA_D4 #Arsenal #Ronaldo #WayV #NFT",1466645581879824384,1169724091789729793
7030,7030,en,False,0,0,0,0,2021-12-03T17:25:58.000Z,"Dune part 2 on 2023!?,2 years waiting period *sigh*",1466821021642547205,1267807241702240256
4481,4481,en,False,0,0,5,0,2021-12-04T20:56:03.000Z,"Doing a double feature of Dune and The French Dispatch today!

🎶 Chala Chala Chala Chala Chala Chala Timothée Chalamet 🎶",1467236279377039363,13537462
4810,4810,en,False,1,0,8,0,2021-12-04T17:36:08.000Z,"King Richard
Dune
Spencer
Single All The Way
Passing
Red Notice https://t.co/jhSl025KsE",1467185966343413765,1113573384925917186
5607,5607,en,False,0,2,1,0,2021-12-04T07:40:29.000Z,Oz nerds: The 1984 Dune is on 9Gem tonight for all the geeky cringes.,1467036069803683841,92916926
5396,5396,en,False,0,0,4,0,2021-12-04T10:25:52.000Z,"Just saw Dune. A lot of people spitting on things. Here for it. No idea what was going on, but #aesthetics. Cool.",1467077688162545668,95537204
4376,4376,en,False,0,2,11,0,2021-12-04T21:48:38.000Z,"I saw Dune in theaters not too long ago, it was fun.
There was also a literal half hour of ads before it and the tickets were disgustingly expensive. Don't really plan on going again.
https://t.co/H0wh7OJ2i8",1467249510288089101,2326387903
829,829,en,False,0,0,0,0,2021-12-06T15:55:46.000Z,Dune (2021) https://t.co/wKUkCSqLwf,1467885485318184973,768412131679014912
7889,7889,en,False,0,0,0,0,2021-12-03T08:28:31.000Z,"Happy for Dune and TSS but no surprise that ZSJL wasn’t nominated, but also…

Godzilla vs. Kong is RIGHT THERE https://t.co/zsEjgbzDYR",1466685766906617864,810333983921893376
5800,5800,en,False,0,0,0,0,2021-12-04T05:22:57.000Z,Finally saw #Dune and it really is worth the hype. You can really tell that Denis Villeneuve put his heart and soul into this film. It was stunning and deserves all the praise. Can’t wait for Part Two!!!,1467001456188436485,1954670526
2944,2944,en,False,0,0,0,0,2021-12-05T13:42:20.000Z,I will bring sunglasses for Dune part two.,1467489518756384768,1094796421495046145
2226,2226,en,False,0,0,0,0,2021-12-05T21:22:57.000Z,Age of Conan developers are working on an open world survival game Dune https://t.co/5Ufyjjkx6C,1467605436186738688,2833394594
1266,1266,en,False,0,1,19,0,2021-12-06T08:52:36.000Z,"Can't wait to see Josephine Langford as Princess Irulan in Dune Part 2, @dunemovie ‼️‼️💓💓 https://t.co/aJI7G5bP6r",1467778994460368896,1430548012749574144
22,22,en,False,0,0,0,0,2021-12-06T23:39:51.000Z,"Hot take, Dune in terms of a movie right now is a 6/10 until part two comes out, honestly if they knew that it’d be unfinished, might as well have put more time into developing characters and emphasizing the arrival on dune as a mid to late movie point.",1468002278414168071,2502446986
2973,2973,en,False,0,3,8,0,2021-12-05T13:17:36.000Z,Could watch dune in the cinema now^^,1467483292131901459,1143956268626915329
2471,2471,en,False,0,1,2,0,2021-12-05T18:58:04.000Z,dune is back in IMAX 🎞🏃💨,1467568974930104331,1282987382120349697
1080,1080,en,False,0,0,8,0,2021-12-06T12:17:37.000Z,I have the 1990 paperback version of Dune. But the 2005 paperback version is a little bigger. And it has the same cover. Maybe I should’ve bought that one. But the smaller one is also kinda nice to carry around.. hmmm 🤔 https://t.co/3ZK8Y3GxWD,1467830586056261639,935063262009483264
5466,5466,en,False,0,0,0,0,2021-12-04T09:33:15.000Z,Dune best.,1467064444916158464,84046542
6203,6203,en,False,0,0,0,0,2021-12-04T01:28:54.000Z,I’m convinced those who quit watching Dune after 20 minutes must have the attention span of a preschooler,1466942555036266496,1155730765143040002
